,name,number_votes,share_votes,district,affiliation
0,CSÁRDI ANTAL,21778,48.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Dialogue-coalition
1,BÖRÖCZ LÁSZLÓ,19144,42.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Fidesz/KDNP
2,HOTZ ANTAL,1975,4.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",MKKP
3,SZIKORA ISTVÁN,1229,2.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Others
4,MURÁNYI GERGELY,543,1.21,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",MEMO
5,SWIERKIEWICZ LARION,186,0.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Normal party
6,SIMON GYÖRGY,79,0.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Others
7,OROSZ ANNA,27881,51.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Dialogue-coalition
8,DR. SIMICSKÓ ISTVÁN,21864,40.73,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Fidesz/KDNP
9,NOVÁK ELŐD,1653,3.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Others
10,MENDLY MIKLÓS,1607,2.99,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",MKKP
11,SZENES GÁBOR,458,0.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",MEMO
12,BILLEIN PIROSKA,159,0.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Normal party
13,BARABÁS GYÖRGY,56,0.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Others
14,HAJNAL MIKLÓS,25323,48.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Dialogue-coalition
15,DR. FÜRJES BALÁZS,21872,41.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Fidesz/KDNP
16,KOVÁCS GERGELY,2861,5.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",MKKP
17,DR. GRUNDTNER ANDRÁS,1163,2.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
18,HAJDU MÁRIA,680,1.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
19,JENEI DÁVID,398,0.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",MEMO
20,ECSENYI SZILÁRD,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
21,LINKA PÉTER,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
22,TÓTH MIKLÓS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Normal party
23,TORDAI BENCE,29993,51.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Dialogue-coalition
24,DR. GÓR CSABA,23468,40.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Fidesz/KDNP
25,JUHÁSZ VERONIKA,2130,3.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",MKKP
26,NAGY ATTILA,1352,2.34,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Others
27,HORVÁTH DIÁNA,623,1.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",MEMO
28,LÁZ JÓZSEF,235,0.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Normal party
29,BENYOVSZKY GÁBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Others
30,DR. OLÁH LAJOS,20561,51.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Dialogue-coalition
31,KOVÁCS BALÁZS NORBERT,15119,37.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Fidesz/KDNP
32,TERDIK ROLAND,2228,5.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",MKKP
33,DR. POPÉLY GYULA,1467,3.67,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Others
34,MAJOR GERGELY RÓBERT,638,1.59,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",MEMO
35,FERGE ANIKÓ,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Normal party
36,JÁMBOR ANDRÁS,21462,48.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Dialogue-coalition
37,SÁRA BOTOND,18561,41.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Fidesz/KDNP
38,DÚRÓ DÓRA,2159,4.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
39,DÖME ZSUZSANNA,1933,4.35,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",MKKP
40,HAGA BÉLA,307,0.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Normal party
41,CSÉPLŐ DÁNIEL,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
42,BOROS GYÖRGY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
43,UNGÁR DÁNIEL,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",MEMO
44,SZABÓNÉ KÁLLAI SZILVIA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
45,HISZÉKENY DEZSŐ,35248,60.53,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Dialogue-coalition
46,HARRACH TAMÁS,17697,30.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Fidesz/KDNP
47,DR. ALEVA MÁRTA,2445,4.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",MKKP
48,NAGY ZSOLT,1907,3.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Others
49,HALMI BAJNOK,675,1.16,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",MEMO
50,DR. VARGA ISTVÁN KÁROLY,263,0.45,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Normal party
51,DR. HADHÁZY ÁKOS,30159,54.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Dialogue-coalition
52,BORBÉLY ÁDÁM,20373,36.54,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Fidesz/KDNP
53,CZEGLÉDI JÁNOS,2108,3.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Others
54,RÓZSA REGINA,1946,3.49,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",MKKP
55,JANICSÁK ISTVÁN,816,1.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",MEMO
56,DUMA NORBERT,255,0.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Normal party
57,KARACS LAJOSNÉ,104,0.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Others
58,ARATÓ GERGELY,22990,45.97,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",Dialogue-coalition
59,DR. PAP SÁNDOR,21282,42.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",Fidesz/KDNP
60,VÉKONY CSONGOR,2210,4.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",Others
61,HANKÓ KLÁRA,1957,3.91,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",MKKP
62,DÉTÁRI LAJOS LÁSZLÓ,1100,2.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",MEMO
63,DEMÉNY-NAGY KRISTÓF,292,0.58,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",Normal party
64,GÁL PÉTER,180,0.36,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 09. számú OEVK - Budapest X. kerület",Others
65,SZABÓ TIMEA,26051,48.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Dialogue-coalition
66,BÚS BALÁZS,21940,41.12,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Fidesz/KDNP
67,BUDAI SÁNDOR,1954,3.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",MKKP
68,KATONA MIKLÓS,1929,3.61,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Others
69,POTECZKI IMRE,826,1.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",MEMO
70,RÓZSA LÁSZLÓ PÉTER,365,0.68,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Others
71,MÜLLER ANITA,296,0.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Normal party
72,DANCSI GYULA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Others
73,ZÖLDEK,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 10. számú OEVK - Budapest III. kerület",Others
74,VARJU LÁSZLÓ,28195,50.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",Dialogue-coalition
75,WINTERMANTEL ZSOLT,21684,39.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",Fidesz/KDNP
76,PAJOR TIBOR,2480,4.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",Others
77,PAIZS MIKLÓS,1949,3.51,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",MKKP
78,ENDRÉDI ISTVÁN,900,1.62,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",MEMO
79,SZŐNYI JÓZSEF,277,0.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 11. számú OEVK - Budapest IV. kerület",Normal party
80,BARKÓCZI BALÁZS,23397,45.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",Dialogue-coalition
81,DR. PINTÉR GÁBOR,21987,42.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",Fidesz/KDNP
82,TAKÁCS ANDRÁS,2559,4.93,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",Others
83,STEIMETZ ALEX,2282,4.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",MKKP
84,SZABÓ NORBERT ÁDÁM,1131,2.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",MEMO
85,HUSZÁR CLAUDIA,347,0.67,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",Normal party
86,GALLAI DÁVID,161,0.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 12. számú OEVK - Budapest XV. kerület",Others
87,VAJDA ZOLTÁN,25080,45.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Dialogue-coalition
88,SZATMÁRY KRISTÓF,24612,44.61,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Fidesz/KDNP
89,NAGYNÉ HOLLÓSI ÉVA,1833,3.32,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Others
90,BOJTI BENCE,1749,3.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",MKKP
91,SCHAFFER VIKTOR,666,1.21,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Others
92,DR. STELLI-KIS SÁNDOR,610,1.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",MEMO
93,DR. SZANYI TIBOR,393,0.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Others
94,DR. ZSIDRÓ LÁSZLÓ,229,0.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 13. számú OEVK - Budapest XVI. kerület",Normal party
95,DUNAI MÓNIKA,25114,44.66,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",Fidesz/KDNP
96,SZILÁGYI GYÖRGY,24733,43.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",Dialogue-coalition
97,FAZEKAS LÁSZLÓ,2875,5.11,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",Others
98,SZIN RICHÁRD,2172,3.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",MKKP
99,HAJMÁSI GERGELY,875,1.56,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",MEMO
100,TOMASOVSZKI LÁSZLÓ,339,0.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",Normal party
101,ZOLLAI ANDRÁS,132,0.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 14. számú OEVK - Budapest XVII. kerület",Others
102,KUNHALMI ÁGNES,25946,44.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Dialogue-coalition
103,DR. LÉVAI ISTVÁN ZOLTÁN,25166,43.26,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Fidesz/KDNP
104,ÁRVAI CSABA,2559,4.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Others
105,SZOKOR MÁRTON,1860,3.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",MKKP
106,JUHÁSZ ISTVÁN,1678,2.88,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Others
107,TABI TÜNDE,679,1.17,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",MEMO
108,SINKA ZOLTÁNNÉ,291,0.5,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Normal party
109,RAFAEL FERENC,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 15. számú OEVK - Budapest XVIII. kerület",Others
110,DR. HILLER ISTVÁN,22856,46.35,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",Dialogue-coalition
111,FÖLDESI GYULA,20880,42.34,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",Fidesz/KDNP
112,HRIVNÁK PÁL,2410,4.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",Others
113,SZENTESI SZABOLCS,2039,4.13,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",MKKP
114,HORVÁTH ELEMÉR,629,1.28,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",MEMO
115,GARAI VERONIKA,367,0.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",Normal party
116,SZÉKELY SÁNDOR,133,0.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 16. számú OEVK - Budapest XX. kerület",Others
117,DR. SZABÓ SZABOLCS,24595,46.49,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",Dialogue-coalition
118,NÉMETH SZILÁRD ISTVÁN,22055,41.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",Fidesz/KDNP
119,KOVÁCS ATTILA,3035,5.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",Others
120,CSIZMADIA CSEKE,1787,3.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",MKKP
121,KOLLER SÁNDOR,905,1.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",MEMO
122,JÁRÓ ARNOLDNÉ,291,0.55,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",Normal party
123,PÁL ÉVA,238,0.45,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 17. számú OEVK - Budapest XXI. kerület",Others
124,TÓTH ENDRE,28964,48.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",Dialogue-coalition
125,NÉMETH ZSOLT,25120,42.03,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",Fidesz/KDNP
126,ESZE TAMÁS,2531,4.24,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",Others
127,OZSVÁT ATTILA,2019,3.38,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",MKKP
128,PAPP ZOLTÁN,613,1.03,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",MEMO
129,SZABÓ GÁBOR DÁNIEL,425,0.71,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",Normal party
130,SCHLENK RICHÁRD,89,0.15,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 18. számú OEVK - Budapest XXII. kerület",Others
131,DR. SALACZ LÁSZLÓ,27420,59.02,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",Fidesz/KDNP
132,SZŐKÉNÉ KOPPING RITA,13464,28.98,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",Dialogue-coalition
133,ERŐS ERZSÉBET,3425,7.37,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",Others
134,KORDIK SZABOLCS,1691,3.64,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",MKKP
135,ÁBRAHÁM ATTILÁNÉ,462,0.99,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",Normal party
136,VARGA LÁSZLÓ,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",MEMO
137,RICZU NORBERT,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 01. számú OEVK - Kecskemét",Others
138,DR. SZEBERÉNYI GYULA TAMÁS,26606,53.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",Fidesz/KDNP
139,BODROZSÁN ALEXANDRA,17208,34.28,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",Dialogue-coalition
140,FARAGÓ DÁNIEL,3512,7.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",Others
141,KARIKÓ ÁGNES,2274,4.53,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",MKKP
142,SÁNTA LÁSZLÓ,597,1.19,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",Normal party
143,SOMODI KÁROLY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 02. számú OEVK - Kecskemét",MEMO
144,FONT SÁNDOR,26592,59.7,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 03. számú OEVK - Kalocsa",Fidesz/KDNP
145,DR. MAGÓNÉ TÓTH GYÖNGYI MÁRIA,13464,30.23,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABÁCS-KISKUN, 03. számú OEVK - Kalocsa",Dialogue-coalition
