name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Valencia CF,2011,3,"2,0",100,95,15,88',8.00,5.50
Levante UD,2011,2,"1,0",30,28,2,87',0.7,0.6
Real Betis Balompié,2011,1,"1,0",15,6,2,47',1.50,1.00
Racing Santander,2011,1,"2,0",-,-,-,-,0.3,0.4
Sporting Gijón,2011,1,"1,0",11,11,-,84',1.80,1.80
Granada CF,2012,22,"1,0",432,339,30,80',9.35,15.50
Sevilla FC,2012,8,"1,0",192,166,19,87',16.70,17.60
Atlético de Madrid,2012,7,"1,0",198,165,28,85',23.90,24.00
RCD Mallorca,2012,6,"1,0",73,39,5,80',11.80,8.00
CA Osasuna,2012,6,"1,0",96,65,2,85',5.30,4.50
Getafe CF,2012,6,"1,0",98,72,7,87',9.70,7.90
Celta de Vigo,2012,5,"1,0",98,83,14,74',3.60,3.30
Málaga CF,2012,5,"1,0",105,86,20,83',5.75,6.60
Real Betis Balompié,2012,4,"1,0",66,48,19,72',7.00,5.70
RCD Espanyol Barcelona,2012,4,"1,0",106,96,19,83',7.00,8.25
FC Barcelona,2012,3,"1,0",33,24,4,86',16.50,13.50
Real Zaragoza,2012,3,"1,0",89,74,12,89',5.80,3.10
Rayo Vallecano,2012,3,"1,0",21,20,-,90',1.20,0.9
Real Madrid,2012,3,"2,0",60,48,9,86',33.00,30.00
Real Sociedad,2012,3,"2,0",80,56,8,74',3.40,1.90
Athletic Bilbao,2012,2,"1,0",67,66,3,88',0.6,0.6
Deportivo de La Coruña,2012,2,"1,0",40,38,-,86',0.4,0.4
Valencia CF,2012,2,"1,0",30,14,5,83',7.50,6.00
Levante UD,2012,2,"1,0",25,11,4,43',2.50,2.30
Real Valladolid CF,2012,1,"1,0",28,25,1,78',0.2,0.4
Granada CF,2013,18,"1,0",442,369,41,86',24.20,29.00
Sevilla FC,2013,12,"1,0",180,139,14,80',27.90,23.85
Atlético de Madrid,2013,9,"2,0",241,219,14,83',42.00,49.00
Valencia CF,2013,7,"1,0",108,80,10,75',46.50,44.50
Real Betis Balompié,2013,6,"1,0",142,109,22,89',6.30,6.30
Athletic Bilbao,2013,5,"1,0",84,74,1,82',9.00,5.60
Celta de Vigo,2013,5,"1,0",109,97,12,85',4.10,4.00
FC Barcelona,2013,4,"2,0",110,67,16,82',31.50,27.00
Real Sociedad,2013,4,"1,0",85,65,10,85',2.90,2.90
RCD Espanyol Barcelona,2013,4,"1,0",51,26,4,49',5.50,4.90
Villarreal CF,2013,4,"2,0",106,76,21,88',9.30,14.00
Levante UD,2013,4,"1,0",120,97,17,73',1.50,2.40
CA Osasuna,2013,3,"1,0",75,64,11,88',4.10,3.80
Málaga CF,2013,3,"1,0",40,33,2,89',3.40,4.10
Elche CF,2013,3,"1,0",29,15,1,85',1.10,0.6
Getafe CF,2013,3,"1,0",38,22,-,82',3.55,3.65
Real Madrid,2013,2,"2,0",53,47,2,89',21.50,15.00
UD Almería,2013,2,"2,0",16,12,-,67',2.40,1.30
Real Valladolid CF,2013,1,"1,0",25,25,-,90',1.00,0.8
Rayo Vallecano,2013,0,-,-,-,-,-,-,-
Atlético de Madrid,2014,15,"1,0",297,251,42,86',81.80,77.95
Granada CF,2014,11,"1,0",203,147,34,86',8.00,8.90
RCD Espanyol Barcelona,2014,8,"1,0",124,95,10,79',6.40,5.70
Córdoba CF,2014,8,"1,0",93,71,11,76',4.40,3.90
Villarreal CF,2014,8,"1,0",136,89,12,88',17.00,17.00
Sevilla FC,2014,7,"1,0",147,82,20,71',11.30,8.50
Athletic Bilbao,2014,7,"1,0",182,158,4,82',4.30,4.70
Real Sociedad,2014,6,"1,0",125,107,15,81',3.80,5.00
Valencia CF,2014,6,"1,0",147,118,11,86',19.50,22.00
FC Barcelona,2014,5,"2,0",171,112,23,87',41.50,54.00
SD Eibar,2014,5,"1,0",106,62,8,80',0.3,0.1
Elche CF,2014,4,"1,0",61,40,5,80',4.20,3.10
Rayo Vallecano,2014,3,"2,0",91,67,10,89',3.60,4.30
Deportivo de La Coruña,2014,3,"1,0",72,47,5,78',1.60,1.60
Málaga CF,2014,3,"1,0",60,41,3,78',4.80,3.40
Real Madrid,2014,2,"1,0",81,66,11,87',9.00,17.00
Celta de Vigo,2014,2,"1,0",30,27,2,90',3.80,3.30
Levante UD,2014,2,"1,0",42,39,6,90',2.50,2.30
UD Almería,2014,1,"1,0",19,16,4,78',0.2,0.2
Getafe CF,2014,0,-,-,-,-,-,-,-
Atlético de Madrid,2015,16,"2,0",332,271,40,83',95.35,81.30
Granada CF,2015,13,"2,0",259,205,32,84',7.20,9.75
UD Las Palmas,2015,8,"1,0",157,107,23,68',3.80,3.30
FC Barcelona,2015,7,"1,0",104,73,9,82',57.00,61.50
Athletic Bilbao,2015,7,"1,0",168,136,8,89',7.20,6.60
Valencia CF,2015,7,"1,0",93,50,7,86',21.50,15.20
Real Betis Balompié,2015,6,"1,0",124,103,9,81',6.20,5.60
Real Madrid,2015,6,"1,0",137,111,12,86',46.90,36.40
RCD Espanyol Barcelona,2015,6,"1,0",94,71,7,86',6.60,6.65
Málaga CF,2015,6,"1,0",80,58,15,80',6.60,5.05
Rayo Vallecano,2015,5,"1,0",120,84,6,81',4.40,5.70
Real Sociedad,2015,5,"1,0",122,85,16,80',10.10,11.10
